geo.name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brazil;5936;6469;7089;7912;8370;8605;9284;9522;9770;10199;10934;10236;10106;9601;9925;10508;11093;11281;11076;11241;10345;10320;10100;10398;10776;11072;11137;11335;11197;11081;11371;11369;11560;11543;12058;12299;12645;13271;13806;13653;14539;14973;15118;15430;15371;14666;14024;14165;14341
Croatia;11831;13080;13409;13740;15375;15239;15562;16540;17300;18331;19101;19323;19338;19394;19775;19829;20537;20210;19836;19497;18005;14111;12348;11254;11840;12625;13887;14557;15062;14747;15745;16235;17086;18036;18777;19545;20490;21564;22015;20414;20118;20704;20313;20153;20136;20636;21409;22034;22620
Denmark;22243;22728;23844;24615;24325;24148;25702;26095;26456;27385;27290;27114;28013;28800;30145;31493;32666;32790;33227;33365;33786;34168;34721;34610;36332;37238;38101;39181;39905;40945;42338;42534;42596;42646;43670;44568;46160;46374;45866;43383;43998;44403;44337;44564;45082;45484;45686;46109;46583
Egypt;3015;3048;3097;3051;3060;3146;3499;3689;3892;4196;4508;4480;4679;4960;5213;5443;5559;5672;5781;5825;5909;5837;5965;6014;6131;6293;6483;6713;6856;7143;7388;7508;7541;7636;7800;8002;8399;8839;9305;9562;9857;9824;9822;9814;9880;10096;10319;10538;10848
Hungary;13010;13570;13839;14530;14860;15109;15090;15982;16333;16346;16509;16644;17273;17141;17644;17261;17657;17980;18572;18253;17098;15074;14618;14550;14999;15244;15271;15808;16513;17091;17855;18571;19463;20266;21328;22307;23203;23343;23592;22078;22277;22729;22481;23020;24016;24831;25381;26198;26936
Jamaica;7804;7692;7783;8312;7845;7698;7117;6874;6833;6610;6169;6234;6191;6295;6208;5891;5961;6394;6550;6957;7286;7578;7658;8301;8334;8448;8357;8183;7917;7928;7932;7978;8082;8325;8385;8411;8606;8681;8566;8154;7997;8099;8017;8026;8053;8105;8190;8342;8517
Mexico;8810;8865;9312;9757;10026;10302;10461;10528;11196;11997;12808;13601;13225;12478;12643;12661;12018;11990;11914;12179;12584;12858;13061;13325;13691;12670;13184;13871;14297;14462;15015;14729;14566;14594;15028;15273;15792;16044;16008;15012;15535;15923;16324;16316;16459;16668;16831;16993;17288
Netherlands;19601;20344;20805;21776;22626;22598;23572;24159;24755;25175;25550;25394;25092;25598;26444;27192;28049;28557;29517;30820;32090;32615;32921;33104;33879;34763;35837;37186;38630;40312;41722;42288;42062;41983;42687;43507;44966;46528;47134;45126;45525;46067;45411;45191;45668;46354;47128;47855;48542
Poland;8822;9383;9991;10654;11180;11599;11779;11892;12220;11888;11488;10783;10593;11017;11329;11353;11631;11408;11625;11418;10277;9522;9731;10069;10580;11300;11976;12741;13324;13944;14732;14920;15232;15785;16606;17194;18268;19563;20392;20953;21771;22850;23218;23555;24346;25299;26003;26852;27668
Spain;12095;12688;13630;14731;15693;16096;16609;17086;17479;17592;17879;17873;18108;18495;18703;19025;19594;20646;21709;22794;23759;24302;24408;24031;24487;25051;25614;26448;27473;28589;29967;30951;31395;31815;32261;32902;33701;34330;34163;32652;32506;32067;31107;30677;31193;32216;33261;33997;34742
